OS,Dist,Arch,Name,Exp
debian,bookworm,armhf,"Debian oldstable/12.11 (""bookworm"")",False
debian,bookworm,arm64,"Debian oldstable/12.11 (""bookworm"")",False
debian,trixie,armhf,"Debian stable/13.0 (""trixie"")",False
debian,trixie,arm64,"Debian stable/13.0 (""trixie"")",False
debian,forky,armhf,"Debian testing (""forky"")",False
debian,forky,arm64,"Debian testing (""forky"")",False
debian,sid,armhf,"Debian unstable (""sid"")",False
debian,sid,arm64,"Debian unstable (""sid"")",False
debian,experimental,armhf,"Debian experimental (""rc-buggy"")",True
debian,experimental,arm64,"Debian experimental (""rc-buggy"")",True
ubuntu,jammy,armhf,"Ubuntu 22.04 LTS (""jammy"")",False
ubuntu,jammy,arm64,"Ubuntu 22.04 LTS (""jammy"")",False
ubuntu,noble,armhf,"Ubuntu 24.04 LTS (""noble"")",False
ubuntu,noble,arm64,"Ubuntu 24.04 LTS (""noble"")",False
ubuntu,oracular,armhf,"Ubuntu 24.10 (""oracular"")",False
ubuntu,oracular,arm64,"Ubuntu 24.10 (""oracular"")",False
ubuntu,plucky,armhf,"Ubuntu 25.04 (""plucky"")",False
ubuntu,plucky,arm64,"Ubuntu 25.04 (""plucky"")",False
ubuntu,questing,armhf,"Ubuntu 25.10 (""questing"")",True
ubuntu,questing,arm64,"Ubuntu 25.10 (""questing"")",True
